01H0608N ,(湖口-中壢戰備道) 
01H0610S ,(中壢戰備道-湖口) 
03A0015N ,(萬芳-台?端) 
03A0015S ,(台?端-萬芳) 
03A0041N ,(萬芳-木柵) 
03A0041S ,(木柵-萬芳) 
03F0006S ,(基?-瑪東系統) 
03F0021N ,(瑪東系統-基?) 
03F0054N ,(汐止系統-瑪東系統) 
03F0087S ,(瑪東系統-汐止系統) 
03F0116N ,(新台五?-汐止系統) 
03F0116S ,(汐止系統-新台五?) 
03F0136S ,(新台五?-南港) 
03F0140N ,(南港-新台五?) 
03F0150N ,(南港系統&南深??上出口匝道(?)-南港) 
03F0158S ,(南港-南港系統&南深??上出口匝道(?)) 
03F0201N ,(木柵-南港系統&南深??上出口匝道(南)) 
03F0201S ,(南港系統&南深??上出口匝道(南)-木柵) 
03F0217N ,(新店-木柵) 
03F0217S ,(木柵-新店) 
03F0301N ,(安坑-新店) 
03F0301S ,(新店-安坑) 
03F0337S ,(安坑-中和) 
03F0338N ,(中和-安坑) 
03F0394N ,(土城-中和) 
03F0394S ,(中和-土城) 
03F0447N ,(樹?-土城) 
03F0447S ,(土城-樹?) 
03F0498N ,(三鶯-樹?) 
03F0498S ,(樹?-三鶯) 
03F0525N ,(鶯歌系統-三鶯) 
03F0525S ,(三鶯-鶯歌系統) 
03F0559N ,(大溪-鶯歌系統) 
03F0559S ,(鶯歌系統-大溪) 
03F0648N ,(?潭-大溪) 
03F0648S ,(大溪-?潭) 
03F0698N ,(關西服務區-?潭) 
03F0698S ,(?潭-關西服務區) 
03F0783N ,(關西-關西服務區) 
03F0783S ,(關西服務區-關西) 
03F0846N ,(竹?-關西) 
03F0846S ,(關西-竹?) 
03F0961N ,(寶山-竹?) 
03F0961S ,(竹?-寶山) 
03F0996N ,(新竹系統-寶山) 
03F0996S ,(寶山-新竹系統) 
03F1022N ,(茄苳-新竹系統) 
03F1022S ,(新竹系統-茄苳) 
03F1051N ,(香山(?)-茄苳) 
03F1051S ,(茄苳-香山(?)) 
03F1128N ,(西濱-香山(南)) 
03F1128S ,(香山(南)-西濱) 
03F1161N ,(竹南-西濱) 
03F1161S ,(西濱-竹南) 
03F1215N ,(大山-竹南) 
03F1215S ,(竹南-大山) 
03F1257N ,(後?-大山) 
03F1257S ,(大山-後?) 
03F1332N ,(西湖服務區-後?) 
03F1332S ,(後?-西湖服務區) 
03F1395N ,(通霄-西湖服務區) 
03F1395S ,(西湖服務區-通霄) 
03F1485N ,(苑?-通霄) 
03F1485S ,(通霄-苑?) 
03F1633N ,(大甲-苑?) 
03F1633S ,(苑?-大甲) 
03F1651N ,(中港系統-大甲) 
03F1651S ,(大甲-中港系統) 
03F1710N ,(清水服務區-中港系統) 
03F1710S ,(中港系統-清水服務區) 
03F1739N ,(沙?-清水服務區) 
03F1739S ,(清水服務區-沙?) 
03F1779N ,(?井-沙?) 
03F1779S ,(沙?-?井) 
03F1860N ,(和美(?)-?井) 
03F1860S ,(?井-和美(?)) 
03F1941N ,(彰化系統-和美(南)) 
03F1944S ,(和美(南)-彰化系統) 
03F1991S ,(彰化系統-快官) 
03F1992N ,(快官-彰化系統) 
03F2066N ,(烏日-快官) 
03F2066S ,(快官-烏日) 
03F2078N ,(中投-烏日) 
03F2079S ,(烏日-中投) 
03F2100N ,(霧峰-中投) 
03F2100S ,(中投-霧峰) 
03F2125N ,(霧峰系統-霧峰) 
03F2129S ,(霧峰-霧峰系統) 
03F2152S ,(霧峰系統-草屯) 
03F2153N ,(草屯-霧峰系統) 
03F2194N ,(中興系統-草屯) 
03F2194S ,(草屯-中興系統) 
03F2231N ,(中興-中興系統) 
03F2235S ,(中興系統-中興) 
03F2260N ,(南投-中興) 
03F2261S ,(中興-南投) 
03F2306N ,(南投服務區-南投) 
03F2306S ,(南投-南投服務區) 
03F2336N ,(名間-南投服務區) 
03F2336S ,(南投服務區-名間) 
03F2415N ,(竹山-名間) 
03F2415S ,(名間-竹山) 
03F2447N ,(南雲-竹山) 
03F2447S ,(竹山-南雲) 
03F2535N ,(斗?-南雲) 
03F2535S ,(南雲-斗?) 
03F2614N ,(古坑系統-斗?) 
03F2614S ,(斗?-古坑系統) 
03F2709N ,(古坑-古坑系統) 
03F2709S ,(古坑系統-古坑) 
03F2747N ,(古坑服務區-古坑) 
03F2747S ,(古坑-古坑服務區) 
03F2777N ,(梅山-古坑服務區) 
03F2777S ,(古坑服務區-梅山) 
03F2840N ,(竹崎(?)-梅山) 
03F2840S ,(梅山-竹崎(?)) 
03F2899N ,(竹崎(南)-竹崎(?)) 
03F2899S ,(竹崎(?)-竹崎(南)) 
03F2923N ,(中埔-竹崎(南)) 
03F2923S ,(竹崎(南)-中埔) 
03F2985N ,(水上系統-中埔) 
03F2985S ,(中埔-水上系統) 
03F3101N ,(白河-水上系統) 
03F3101S ,(水上系統-白河) 
03F3187N ,(東山服務區-白河) 
03F3187S ,(白河-東山服務區) 
03F3211N ,(?營-東山服務區) 
03F3211S ,(東山服務區-?營) 
03F3259N ,(烏山頭-?營) 
03F3259S ,(?營-烏山頭) 
03F3307N ,(官田系統-烏山頭) 
03F3307S ,(烏山頭-官田系統) 
03F3392N ,(善化-官田系統) 
03F3392S ,(官田系統-善化) 
03F3445N ,(新化系統-善化) 
03F3445S ,(善化-新化系統) 
03F3496N ,(關廟-新化系統) 
03F3496S ,(新化系統-關廟) 
03F3588N ,(田?-關廟) 
03F3588S ,(關廟-田?) 
03F3743N ,(燕巢系統-田?) 
03F3743S ,(田?-燕巢系統) 
03F3854N ,(九如-燕巢系統) 
03F3854S ,(燕巢系統-九如) 
03F3916N ,(長治-九如) 
03F3916S ,(九如-長治) 
03F4018S ,(長治-??(?)) 
03F4021N ,(??(?)-長治) 
03F4142N ,(竹田系統-??(南)) 
03F4142S ,(??(南)-竹田系統) 
03F4168N ,(崁頂-竹田系統) 
03F4168S ,(竹田系統-崁頂) 
03F4232N ,(南州(?)-崁頂) 
03F4232S ,(崁頂-南州(?)) 
03F4259N ,(?邊-南州(南)) 
03F4263S ,(南州(南)-?邊) 
05F0000S ,(南港系統-石碇) 
05F0001N ,(石碇-南港系統) 
05F0055N ,(坪??控專用道-石碇) 
05F0055S ,(石碇-坪??控專用道) 
